BLDType,DEM,EFFYRBLT,FID,FLD_ZONE,FLOODPLAIN,Income,JV,JVclass,LNDVAL,NOBULDNG,NORESUNTS,PARUSEDESC,TOTLVGAREA,Zip Code,cate1,cate2,cate3,cate4,cate5,latitude,longitude,Label
1,8,1992,12,X,OUTSIDE FLOODPLAIN,33491,220246,4,43451,1,1,SINGLE FAMILY,1861,33179,-9999,-9999,-9999,-9999,-9999,25.9715193,-80.19587218,4
1,7,1993,12,X,OUTSIDE FLOODPLAIN,54651,197371,3,48376,1,1,SINGLE FAMILY,1548,33179,-9999,-9999,-9999,-9999,-9999,25.97165249,-80.19590667,4
1,8,1992,12,X,OUTSIDE FLOODPLAIN,33556,176388,3,39588,1,1,SINGLE FAMILY,1440,33179,-9999,-9999,-9999,-9999,-9999,25.97163947,-80.19573607,4
1,8,1991,12,X,OUTSIDE FLOODPLAIN,86986,210574,4,36105,1,1,SINGLE FAMILY,1861,33179,-9999,-9999,-9999,-9999,-9999,25.9714819,-80.19674344,4
1,8,1991,12,X,OUTSIDE FLOODPLAIN,57517,227611,4,53142,1,1,SINGLE FAMILY,1861,33179,-9999,-9999,-9999,-9999,-9999,25.9715205,-80.19656917,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,93404,141132,3,0,1,1,CONDOMINIUMS,1490,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,63251,97442,2,0,1,1,CONDOMINIUMS,1200,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,74127,125138,3,0,1,1,CONDOMINIUMS,1220,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,59142,124393,3,0,1,1,CONDOMINIUMS,1220,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,84095,97442,2,0,1,1,CONDOMINIUMS,1200,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,123741,141132,3,0,1,1,CONDOMINIUMS,1490,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,71774,141132,3,0,1,1,CONDOMINIUMS,1490,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,48878,97442,2,0,1,1,CONDOMINIUMS,1200,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,67921,125138,3,0,1,1,CONDOMINIUMS,1220,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,14435,124393,3,0,1,1,CONDOMINIUMS,1220,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,57215,131486,3,0,1,1,CONDOMINIUMS,1230,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,67388,98863,2,0,1,1,CONDOMINIUMS,1190,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,38658,146970,3,0,1,1,CONDOMINIUMS,1490,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,84603,131776,3,0,1,1,CONDOMINIUMS,1220,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,70048,131058,3,0,1,1,CONDOMINIUMS,1220,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,41484,146970,3,0,1,1,CONDOMINIUMS,1490,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,111828,146970,3,0,1,1,CONDOMINIUMS,1490,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,70474,102686,3,0,1,1,CONDOMINIUMS,1200,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,22049,131776,3,0,1,1,CONDOMINIUMS,1220,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,57842,131058,3,0,1,1,CONDOMINIUMS,1220,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,23423,131486,3,0,1,1,CONDOMINIUMS,1230,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,88924,98863,2,0,1,1,CONDOMINIUMS,1190,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,22946,146970,3,0,1,1,CONDOMINIUMS,1490,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,7035,102686,3,0,1,1,CONDOMINIUMS,1200,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,22977,131776,3,0,1,1,CONDOMINIUMS,1220,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1988,12,X,OUTSIDE FLOODPLAIN,45033,131058,3,0,1,1,CONDOMINIUMS,1220,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1989,12,X,OUTSIDE FLOODPLAIN,90198,146970,3,0,1,1,CONDOMINIUMS,1490,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1989,12,X,OUTSIDE FLOODPLAIN,84102,102686,3,0,1,1,CONDOMINIUMS,1200,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1989,12,X,OUTSIDE FLOODPLAIN,61040,131776,3,0,1,1,CONDOMINIUMS,1220,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1989,12,X,OUTSIDE FLOODPLAIN,46102,131058,3,0,1,1,CONDOMINIUMS,1220,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1989,12,X,OUTSIDE FLOODPLAIN,42547,131776,3,0,1,1,CONDOMINIUMS,1220,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1989,12,X,OUTSIDE FLOODPLAIN,61302,131058,3,0,1,1,CONDOMINIUMS,1220,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1989,12,X,OUTSIDE FLOODPLAIN,52179,102686,3,0,1,1,CONDOMINIUMS,1200,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1989,12,X,OUTSIDE FLOODPLAIN,33165,146970,3,0,1,1,CONDOMINIUMS,1490,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1989,12,X,OUTSIDE FLOODPLAIN,26006,131776,3,0,1,1,CONDOMINIUMS,1220,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1989,12,X,OUTSIDE FLOODPLAIN,33450,131058,3,0,1,1,CONDOMINIUMS,1220,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1989,12,X,OUTSIDE FLOODPLAIN,47858,141132,3,0,1,1,CONDOMINIUMS,1490,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1989,12,X,OUTSIDE FLOODPLAIN,90843,141132,3,0,1,1,CONDOMINIUMS,1490,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1989,12,X,OUTSIDE FLOODPLAIN,116816,124780,3,0,1,1,CONDOMINIUMS,1230,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1989,12,X,OUTSIDE FLOODPLAIN,52920,93578,2,0,1,1,CONDOMINIUMS,1190,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1989,12,X,OUTSIDE FLOODPLAIN,37442,143864,3,0,1,1,CONDOMINIUMS,1490,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1989,12,X,OUTSIDE FLOODPLAIN,23169,124780,3,0,1,1,CONDOMINIUMS,1230,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1989,12,X,OUTSIDE FLOODPLAIN,72470,93578,2,0,1,1,CONDOMINIUMS,1190,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
3,9,1989,12,X,OUTSIDE FLOODPLAIN,39121,97442,2,0,1,1,CONDOMINIUMS,1200,33179,-9999,-9999,-9999,-9999,-9999,25.97206048,-80.19629114,4
