Asian,Black,CensusID,ClaimDamage,ClaimN,FeatureID,HOUSEHOLDS,Other,Owner,PolicyN,PolicyRate,Renter,White,policycost
3.9,30.1,12086003001,247186.93877561396,5.71428571429,109,987.0,-91.6,239.0,178.909090909,0.18126554296757855,748.0,58.6,302206.090909
0.6,58.5,12086002800,0.0,1.0,110,478.0,-91.2,54.0,27.5454545455,0.05762647394456067,424.0,33.1,52980.9090909
0.4,2.3,12086009309,275784.33125,3.875,111,2341.0,-95.3,1401.0,261.272727273,0.11160731622084578,940.0,93.6,151482.727273
2.0,22.3,12086011401,1072584.61328125,11.75,112,5359.0,-91.39999999999999,2801.0,880.181818182,0.1642436682556447,2558.0,68.1,598498.181818
0.3,6.9,12086011202,1283737.6152054626,17.0909090909,113,2108.0,-83.2,977.0,540.181818182,0.2562532344316888,1131.0,77.0,256937.454545
0.6,1.4,12086005904,1528813.146672,12.0,114,1574.0,-95.4,992.0,46.8181818182,0.029744715259339263,582.0,94.4,19564.1818182
0.9,1.1,12086006001,210061.08727278907,6.18181818182,115,2153.0,-96.2,1739.0,106.272727273,0.049360300637714814,414.0,95.2,40334.1818182
0.4,1.0,12086008902,306430.4903107327,6.93333333333,116,2486.0,-96.80000000000001,1680.0,542.545454545,0.21824032765285598,806.0,96.4,265471.454545
0.4,0.8,12086008901,347596.8036328125,5.8125,117,2163.0,-96.2,1654.0,695.545454545,0.32156516622515025,509.0,96.0,319151.272727
0.4,1.3,12086009019,3923330.819469641,16.6086956522,118,1247.0,-95.0,1076.0,651.363636364,0.522344535977546,171.0,94.3,280578.0
0.9,2.8,12086015600,432474.92390625,12.75,119,1605.0,-93.3,1207.0,859.909090909,0.5357689039931465,398.0,90.6,526553.272727
0.8,2.2,12086005501,0.0,1.0,120,2046.0,-95.0,962.0,15.5454545455,0.007597973873655914,1084.0,93.0,12914.0
1.8,1.9,12086015700,4677186.482,23.0,121,759.0,-96.4,607.0,514.454545455,0.6778057252371542,152.0,93.7,256331.545455
0.5,1.2,12086014600,299216.5075441473,13.3529411765,122,2368.0,-95.3,1681.0,464.909090909,0.1963298525798142,687.0,94.6,300838.0
0.8,2.2,12086009015,13283.10285714,2.0,123,2259.0,-94.0,1243.0,69.6363636364,0.03082619018875609,1016.0,92.0,71518.0909091
0.2,79.9,12086002003,0.0,1.0,124,1106.0,-94.2,247.0,16.9090909091,0.015288508959403256,859.0,15.1,20933.0909091
0.2,84.3,12086002001,3269.33877551387,2.28571428571,125,1355.0,-92.2,241.0,58.0,0.042804428044280446,1114.0,8.7,50064.0
0.1,89.8,12086001904,391.736666667,1.0,126,1415.0,-95.49999999999999,571.0,23.2727272727,0.016447157083180213,844.0,6.6,14103.9090909
0.0,91.0,12086001903,0.0,1.0,127,1039.0,-95.4,248.0,30.0,0.028873917228103944,791.0,5.4,17205.8181818
0.0,90.7,12086001901,19810.1375,2.5,128,1484.0,-95.4,380.0,147.272727273,0.09924038225943395,1104.0,5.7,89905.0909091
0.0,84.4,12086001801,36208.207500000004,1.5,129,1177.0,-93.80000000000001,541.0,26.0,0.022090059473237042,636.0,10.4,10509.7272727
0.3,87.9,12086001502,4742.18612245757,1.14285714286,130,1236.0,-95.7,433.0,79.8181818182,0.06457781700501618,803.0,8.5,44992.5454545
0.1,89.5,12086001501,1053.925,1.0,131,1068.0,-95.5,184.0,45.1818181818,0.042305073203932585,884.0,6.9,24117.2727273
0.4,82.2,12086001402,713.5753061216164,1.85714285714,132,1851.0,-93.60000000000001,211.0,70.7272727273,0.03821030401258779,1640.0,12.0,60214.3636364
